Fiscal Year,Quarter Ending,County_Number,County,City,Number of Returns,Taxable Sales,Computed Tax,Percent of Tax,FIPS County Code,Primary Lat Dec,Primary Long Dec
2012,09/30/2011,1,Adair,Greenfield,112,5806502,347969,0.07,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Adair,58,3113359,184309,0.04,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Fontanelle,38,1175786,70547,0.01,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Stuart,28,2760190,158996,0.03,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Orient,16,274254,16449,0,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Bridgewater,11,418585,25115,0,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Other,14,1104008,66240,0.01,19001,41.3307464,-94.4709413
2012,09/30/2011,2,Adams,Corning,127,5621721,336689,0.06,19003,41.0289839,-94.6991849
2012,09/30/2011,2,Adams,Other,29,1407566,84454,0.02,19003,41.0289839,-94.6991849
2012,09/30/2011,3,Allamakee,Waukon,239,14470389,866527,0.17,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Lansing,85,3535844,211282,0.04,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Postville,81,4001094,240039,0.05,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Harpers Ferry,35,700714,41650,0.01,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,New Albin,26,366699,22002,0,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Waterville,11,128147,7689,0,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Other,31,623250,37395,0.01,19005,43.2842838,-91.3780923
2012,09/30/2011,4,Appanoose,Centerville,275,21680227,1297777,0.25,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Moravia,51,3459657,193106,0.04,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Moulton,27,377052,22623,0,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Cincinnati,20,121790,7307,0,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Mystic,12,103398,6204,0,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Other,27,208825,12258,0,19007,40.7431635,-92.8686104
2012,09/30/2011,5,Audubon,Audubon,152,7321038,438884,0.08,19009,41.6845893,-94.9058222
2012,09/30/2011,5,Audubon,Exira,43,933913,56035,0.01,19009,41.6845893,-94.9058222
2012,09/30/2011,5,Audubon,Other,28,696932,41816,0.01,19009,41.6845893,-94.9058222
2012,09/30/2011,6,Benton,Vinton,214,12539631,750894,0.14,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Belle Plaine,100,5033654,301947,0.06,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Atkins,47,2289639,137378,0.03,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Blairstown,45,2484032,149042,0.03,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Shellsburg,44,1458932,87536,0.02,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Van Horne,33,1067458,64047,0.01,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Keystone,31,1281613,76897,0.01,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Urbana,29,3276712,195791,0.04,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Newhall,26,908691,54521,0.01,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Norway,24,546966,32818,0.01,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Walford,22,481310,28879,0.01,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Other,41,706989,42419,0.01,19011,42.0801864,-92.0656912
2012,09/30/2011,7,Black Hawk,Waterloo,1613,277217082,16574450,3.18,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Cedar Falls,915,135440656,8102570,1.55,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Evansdale,85,5846942,348778,0.07,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Laporte City,83,2296745,137759,0.03,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Hudson,78,2849283,170957,0.03,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Dunkerton,39,2361368,141682,0.03,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Gilbertville,22,397494,23850,0,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Raymond,22,755219,45313,0.01,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Janesville,21,370859,22252,0,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Elk Run Heights,19,5458767,327526,0.06,19013,42.4700957,-92.3088197
2012,09/30/2011,7,Black Hawk,Other,29,1008496,60510,0.01,19013,42.4700957,-92.3088197
2012,09/30/2011,8,Boone,Boone,423,38148423,2282728,0.44,19015,42.0365493,-93.931671
2012,09/30/2011,8,Boone,Madrid,83,2703519,162182,0.03,19015,42.0365493,-93.931671
2012,09/30/2011,8,Boone,Ogden,79,1929209,115660,0.02,19015,42.0365493,-93.931671
2012,09/30/2011,8,Boone,Other,50,1060318,63619,0.01,19015,42.0365493,-93.931671
2012,09/30/2011,9,Bremer,Waverly,298,30752991,1839049,0.35,19017,42.7745873,-92.3180548
2012,09/30/2011,9,Bremer,Sumner,112,4825491,289390,0.06,19017,42.7745873,-92.3180548
2012,09/30/2011,9,Bremer,Denver,78,3945089,236705,0.05,19017,42.7745873,-92.3180548
2012,09/30/2011,9,Bremer,Tripoli,56,1689907,101394,0.02,19017,42.7745873,-92.3180548
2012,09/30/2011,9,Bremer,Readlyn,38,1535121,92107,0.02,19017,42.7745873,-92.3180548
2012,09/30/2011,9,Bremer,Janesville,29,1277638,76658,0.01,19017,42.7745873,-92.3180548
2012,09/30/2011,9,Bremer,Plainfield,24,917420,55045,0.01,19017,42.7745873,-92.3180548
2012,09/30/2011,9,Bremer,Other,15,156490,9389,0,19017,42.7745873,-92.3180548
2012,09/30/2011,10,Buchanan,Independence,260,23415905,1401426,0.27,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Jesup,87,8073227,484382,0.09,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Hazleton,51,1787848,107271,0.02,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Fairbank,49,2661170,159670,0.03,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Winthrop,47,1578624,94717,0.02,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Rowley,20,848727,50924,0.01,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Aurora,18,220426,13226,0,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Brandon,18,205727,12344,0,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Lamont,15,575840,34550,0.01,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Quasqueton,15,454766,27286,0.01,19019,42.4707777,-91.8378392
2012,09/30/2011,10,Buchanan,Other,17,190432,11426,0,19019,42.4707777,-91.8378392
2012,09/30/2011,11,Buena Vista,Storm Lake,359,43712132,2608814,0.5,19021,42.7354936,-95.151149
2012,09/30/2011,11,Buena Vista,Alta,65,2037403,122244,0.02,19021,42.7354936,-95.151149
2012,09/30/2011,11,Buena Vista,Sioux Rapids,44,4190651,251382,0.05,19021,42.7354936,-95.151149
2012,09/30/2011,11,Buena Vista,Albert City,32,663989,39839,0.01,19021,42.7354936,-95.151149
2012,09/30/2011,11,Buena Vista,Newell,32,674324,40459,0.01,19021,42.7354936,-95.151149
2012,09/30/2011,11,Buena Vista,Linn Grove,17,140346,8302,0,19021,42.7354936,-95.151149
2012,09/30/2011,11,Buena Vista,Marathon,12,164449,9866,0,19021,42.7354936,-95.151149
2012,09/30/2011,11,Buena Vista,Rembrandt,10,86592,5196,0,19021,42.7354936,-95.151149
2012,09/30/2011,11,Buena Vista,Other,11,185707,11142,0,19021,42.7354936,-95.151149
2012,09/30/2011,12,Butler,Parkersburg,78,2967151,178029,0.03,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,Greene,64,2414895,144894,0.03,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,Clarksville,63,1476653,88599,0.02,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,Allison,59,1799616,107877,0.02,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,Shell Rock,43,1107260,66436,0.01,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,Aplington,41,1194801,71688,0.01,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,Dumont,31,1446194,86772,0.02,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,New Hartford,27,439820,26389,0.01,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,Bristow,11,76157,4569,0,19023,42.7315661,-92.7901934
2012,09/30/2011,12,Butler,Other,21,1487378,89243,0.02,19023,42.7315661,-92.7901934
2012,09/30/2011,13,Calhoun,Rockwell City,86,4181466,250786,0.05,19025,42.3851848,-94.6404136
2012,09/30/2011,13,Calhoun,Manson,78,4278538,256712,0.05,19025,42.3851848,-94.6404136
2012,09/30/2011,13,Calhoun,Lake City,74,2557104,153341,0.03,19025,42.3851848,-94.6404136
2012,09/30/2011,13,Calhoun,Pomeroy,21,542407,32544,0.01,19025,42.3851848,-94.6404136
2012,09/30/2011,13,Calhoun,Lohrville,20,350292,21018,0,19025,42.3851848,-94.6404136
2012,09/30/2011,13,Calhoun,Farnhamville,17,432040,25922,0,19025,42.3851848,-94.6404136
2012,09/30/2011,13,Calhoun,Other,36,431632,25898,0,19025,42.3851848,-94.6404136
2012,09/30/2011,14,Carroll,Carroll,494,56152307,3358562,0.64,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Manning,83,3670586,220235,0.04,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Coon Rapids,64,2406848,144395,0.03,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Glidden,43,2058785,123527,0.02,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Breda,36,2988978,179339,0.03,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Templeton,31,937743,56265,0.01,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Arcadia,25,1471251,88275,0.02,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Halbur,21,1186503,71190,0.01,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Dedham,20,251531,15092,0,19027,42.0362382,-94.8605593
2012,09/30/2011,14,Carroll,Other,21,725339,43520,0.01,19027,42.0362382,-94.8605593
2012,09/30/2011,15,Cass,Atlantic,316,30071309,1797524,0.34,19029,41.3314876,-94.9278266
2012,09/30/2011,15,Cass,Griswold,58,1843533,110612,0.02,19029,41.3314876,-94.9278266
2012,09/30/2011,15,Cass,Anita,49,1199724,71973,0.01,19029,41.3314876,-94.9278266
2012,09/30/2011,15,Cass,Massena,24,1311087,78665,0.02,19029,41.3314876,-94.9278266
2012,09/30/2011,15,Cass,Cumberland,14,87556,5253,0,19029,41.3314876,-94.9278266
2012,09/30/2011,15,Cass,Wiota,13,209294,12546,0,19029,41.3314876,-94.9278266
2012,09/30/2011,15,Cass,Lewis,12,160217,9611,0,19029,41.3314876,-94.9278266
2012,09/30/2011,15,Cass,Marne,10,287013,17221,0,19029,41.3314876,-94.9278266
2012,09/30/2011,15,Cass,Other,9,272736,16364,0,19029,41.3314876,-94.9278266
2012,09/30/2011,16,Cedar,Tipton,182,11093270,665196,0.13,19031,41.7723207,-91.1324125
2012,09/30/2011,16,Cedar,West Branch,95,3466115,207286,0.04,19031,41.7723207,-91.1324125
2012,09/30/2011,16,Cedar,Durant,69,3915257,234915,0.05,19031,41.7723207,-91.1324125
2012,09/30/2011,16,Cedar,Lowden,46,1791666,107413,0.02,19031,41.7723207,-91.1324125
2012,09/30/2011,16,Cedar,Clarence,45,1324426,79466,0.02,19031,41.7723207,-91.1324125
2012,09/30/2011,16,Cedar,Mechanicsville,33,1084472,65068,0.01,19031,41.7723207,-91.1324125
2012,09/30/2011,16,Cedar,Stanwood,20,355190,21311,0,19031,41.7723207,-91.1324125
2012,09/30/2011,16,Cedar,Bennett,11,113723,6823,0,19031,41.7723207,-91.1324125
2012,09/30/2011,16,Cedar,Other,21,1000039,60002,0.01,19031,41.7723207,-91.1324125
2012,09/30/2011,17,Cerro Gordo,Mason City,935,136715539,8178275,1.57,19033,43.0815577,-93.2608184
2012,09/30/2011,17,Cerro Gordo,Clear Lake,362,26718884,1582993,0.3,19033,43.0815577,-93.2608184
2012,09/30/2011,17,Cerro Gordo,Rockwell,37,902772,54166,0.01,19033,43.0815577,-93.2608184
2012,09/30/2011,17,Cerro Gordo,Ventura,30,3042192,182532,0.03,19033,43.0815577,-93.2608184
2012,09/30/2011,17,Cerro Gordo,Thornton,15,404389,24263,0,19033,43.0815577,-93.2608184
2012,09/30/2011,17,Cerro Gordo,Plymouth,13,196346,11704,0,19033,43.0815577,-93.2608184
2012,09/30/2011,17,Cerro Gordo,Swaledale,12,594486,35669,0.01,19033,43.0815577,-93.2608184
2012,09/30/2011,17,Cerro Gordo,Meservey,11,181042,10863,0,19033,43.0815577,-93.2608184
2012,09/30/2011,17,Cerro Gordo,Other,25,637772,38181,0.01,19033,43.0815577,-93.2608184
2012,09/30/2011,18,Cherokee,Cherokee,262,18091860,1081612,0.21,19035,42.7356226,-95.6238055
2012,09/30/2011,18,Cherokee,Marcus,55,5105589,305811,0.06,19035,42.7356226,-95.6238055
2012,09/30/2011,18,Cherokee,Aurelia,40,2378604,142716,0.03,19035,42.7356226,-95.6238055
2012,09/30/2011,18,Cherokee,Quimby,14,469988,28199,0.01,19035,42.7356226,-95.6238055
2012,09/30/2011,18,Cherokee,Cleghorn,13,134978,8099,0,19035,42.7356226,-95.6238055
2012,09/30/2011,18,Cherokee,Washta,11,292914,17575,0,19035,42.7356226,-95.6238055
2012,09/30/2011,18,Cherokee,Other,23,563172,33790,0.01,19035,42.7356226,-95.6238055
2012,09/30/2011,19,Chickasaw,New Hampton,216,16440933,983772,0.19,19037,43.0600414,-92.3176637
